country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Cameroon,Africa,82064,1334.0,80433.0,297.0,152.0,3011,49.0,1751774.0,64275.0,27254503
Canada,North America,1430825,26598.0,1397641.0,6586.0,231.0,37556,698.0,38466868.0,1009673.0,38098354
Caribbean Netherlands,North America,1707,17.0,1661.0,29.0,,64452,642.0,12584.0,475137.0,26485
Cayman Islands,North America,643,2.0,631.0,10.0,,9662,30.0,117247.0,1761735.0,66552
Central African Republic,Africa,7151,98.0,6859.0,194.0,2.0,1453,20.0,54814.0,11141.0,4919984
Chad,Africa,4973,174.0,4792.0,7.0,,294,10.0,131713.0,7779.0,16930869
Channel Islands,Europe,9208,86.0,6558.0,2564.0,,52441,490.0,713221.0,4061901.0,175588
Chile,South America,1615771,35448.0,1570492.0,9831.0,1395.0,83750,1837.0,18662297.0,967317.0,19292837
China Hong Kong Sar,Asia,11985,212.0,11713.0,60.0,,1585,28.0,21390075.0,2828455.0,7562460
China Macao Sar,Asia,59,,54.0,5.0,,90,,4671.0,7090.0,658853
China,Asia,92930,4636.0,87323.0,971.0,26.0,65,3.0,160000000.0,111163.0,1439323776
Colombia,South America,4785320,120723.0,4578519.0,86078.0,8155.0,92979,2346.0,22533319.0,437825.0,51466439
Comoros,Africa,4028,147.0,3865.0,16.0,,4528,165.0,,,889484
Congo,Africa,13186,178.0,12421.0,587.0,,2328,31.0,188207.0,33230.0,5663755
Costa Rica,North America,406814,5030.0,329639.0,72145.0,364.0,79082,978.0,1734362.0,337150.0,5144185
Cote D Ivoire,Africa,50135,329.0,49261.0,545.0,,1851,12.0,785677.0,29014.0,27078801
Croatia,Europe,363615,8259.0,354238.0,1118.0,11.0,89166,2025.0,2299700.0,563936.0,4077945
Cuba,North America,384596,2758.0,338968.0,42870.0,340.0,33977,244.0,6516361.0,575693.0,11319161
Curacao,North America,13625,126.0,12853.0,646.0,4.0,82668,764.0,181317.0,1100118.0,164816
Cyprus,Asia,101419,419.0,80178.0,20822.0,85.0,83347,344.0,9366973.0,7697899.0,1216822
Czech Republic,Europe,1673576,30373.0,1640314.0,2889.0,10.0,155966,2831.0,32954689.0,3071154.0,10730394
Democratic Republic Of The Congo,Africa,49917,1038.0,29994.0,18885.0,,540,11.0,266505.0,2882.0,92477515
Denmark,Europe,316807,2549.0,303182.0,11076.0,8.0,54489,438.0,76232150.0,13111419.0,5814180
Djibouti,Africa,11651,156.0,11490.0,5.0,,11611,155.0,191385.0,190728.0,1003446
Dominica,North America,210,,200.0,10.0,,2909,,21152.0,293049.0,72179
Dominican Republic,North America,341905,3963.0,323333.0,14609.0,194.0,31182,361.0,1837882.0,167614.0,10964974
Ecuador,South America,486544,31591.0,443880.0,11073.0,759.0,27134,1762.0,1683188.0,93870.0,17931028
Egypt,Africa,284215,16518.0,229712.0,37985.0,90.0,2722,158.0,3068679.0,29391.0,104407309
El Salvador,North America,86620,2629.0,76265.0,7726.0,126.0,13282,403.0,1140958.0,174954.0,6521459
Equatorial Guinea,Africa,8880,123.0,8637.0,120.0,1.0,6114,85.0,171690.0,118218.0,1452320
Eritrea,Africa,6547,35.0,6444.0,68.0,,1819,10.0,23693.0,6583.0,3599197
Estonia,Europe,133557,1272.0,128898.0,3387.0,2.0,100608,958.0,1620824.0,1220962.0,1327497
Ethiopia,Africa,280365,4385.0,263500.0,12480.0,223.0,2376,37.0,3019053.0,25581.0,118017563
Faeroe Islands,Europe,983,2.0,943.0,38.0,,20035,41.0,369142.0,7523837.0,49063
Falkland Islands Malvinas,South America,63,,63.0,0.0,,17554,,7307.0,2035943.0,3589
Fiji,Australia/Oceania,29781,238.0,7705.0,21838.0,40.0,32964,263.0,312913.0,346358.0,903439
Finland,Europe,106802,982.0,46000.0,59820.0,7.0,19244,177.0,5902996.0,1063603.0,5549998
France,Europe,6127019,111867.0,5700815.0,314337.0,1099.0,93644,1710.0,104611244.0,1598847.0,65429176
French Guiana,South America,30164,187.0,9995.0,19982.0,25.0,98260,609.0,322491.0,1050521.0,306982
French Polynesia,Australia/Oceania,20048,149.0,19206.0,693.0,5.0,70927,527.0,26355.0,93240.0,282657
Gabon,Africa,25384,164.0,25166.0,54.0,6.0,11123,72.0,981229.0,429973.0,2282073
Gambia,Africa,7709,212.0,6600.0,897.0,3.0,3097,85.0,91290.0,36671.0,2489421
Georgia,Asia,419534,5820.0,382393.0,31321.0,,105386,1462.0,6781466.0,1703497.0,3980909
Germany,Europe,3776721,92171.0,3653300.0,31250.0,359.0,44922,1096.0,67083026.0,797918.0,84072622
Ghana,Africa,103019,823.0,97213.0,4983.0,15.0,3243,26.0,1416952.0,44601.0,31769201
Gibraltar,Europe,4965,94.0,4471.0,400.0,11.0,147417,2791.0,310308.0,9213420.0,33680
Greece,Europe,493304,12940.0,446985.0,33379.0,172.0,47579,1248.0,12804347.0,1234973.0,10368119
Greenland,North America,119,,78.0,41.0,,2092,,40906.0,719214.0,56876
Grenada,North America,164,1.0,161.0,2.0,,1450,9.0,43173.0,381775.0,113085
Guadeloupe,North America,19503,242.0,2250.0,17011.0,23.0,48733,605.0,256597.0,641175.0,400198
Guatemala,North America,368484,10339.0,321832.0,36313.0,5.0,20167,566.0,1870705.0,102384.0,18271521
Guinea Bissau,Africa,4451,75.0,3897.0,479.0,4.0,2206,37.0,81223.0,40251.0,2017898
Guinea,Africa,25688,220.0,24148.0,1320.0,24.0,1901,16.0,497071.0,36780.0,13514607
Guyana,South America,22458,535.0,21166.0,757.0,15.0,28405,677.0,224529.0,283984.0,790641
Haiti,North America,20157,555.0,14248.0,5354.0,,1745,48.0,99119.0,8580.0,11552042
Holy See,Europe,27,,27.0,0.0,,33624,,,,803
Honduras,North America,297111,7834.0,100697.0,188580.0,699.0,29493,778.0,880357.0,87390.0,10073907
Hungary,Europe,809491,30026.0,748157.0,31308.0,11.0,84025,3117.0,6328373.0,656886.0,9633893
Iceland,Europe,7959,30.0,6716.0,1213.0,10.0,23162,87.0,861755.0,2507814.0,343628
India,Asia,31654584,424384.0,30812873.0,417327.0,8944.0,22698,304.0,466427038.0,334451.0,1394605426
Indonesia,Asia,3409658,94119.0,2770092.0,545447.0,,12325,340.0,26301202.0,95075.0,276635762
Iran,Asia,3871008,90630.0,3367272.0,413106.0,5455.0,45461,1064.0,25857430.0,303672.0,85149163
Iraq,Asia,1626599,18657.0,1464273.0,143669.0,836.0,39489,453.0,13076929.0,317470.0,41191025
Ireland,Europe,300976,5035.0,267749.0,28192.0,26.0,60230,1008.0,4729538.0,946451.0,4997127
Isle Of Man,Europe,4760,29.0,3365.0,1366.0,1.0,55661,339.0,83753.0,979361.0,85518
Israel,Asia,874018,6473.0,849081.0,18464.0,201.0,93718,694.0,16462447.0,1765221.0,9326000
Italy,Europe,4350028,128063.0,4134680.0,87285.0,214.0,72061,2121.0,77544194.0,1284568.0,60365948
Jamaica,North America,52895,1190.0,46979.0,4726.0,16.0,17779,400.0,495187.0,166444.0,2975091
Japan,Asia,913755,15184.0,834967.0,63604.0,667.0,7249,120.0,18382964.0,145828.0,126058811
Jordan,Asia,770712,10032.0,750518.0,10162.0,594.0,74738,973.0,8493724.0,823663.0,10312137
Kazakhstan,Asia,572576,5866.0,473344.0,93366.0,221.0,30107,308.0,11575012.0,608625.0,19018299
Kenya,Africa,203213,3931.0,188936.0,10346.0,185.0,3692,71.0,2132355.0,38740.0,55042384
Kuwait,Asia,397831,2320.0,384062.0,11449.0,306.0,91699,535.0,3404612.0,784750.0,4338465
Kyrgyzstan,Asia,162892,2325.0,144564.0,16003.0,195.0,24532,350.0,1537723.0,231590.0,6639861
Laos,Asia,6299,7.0,2804.0,3488.0,,852,,307597.0,41629.0,7389060
Latvia,Europe,138863,2556.0,135583.0,724.0,6.0,74510,1371.0,3133384.0,1681292.0,1863676
Lebanon,Asia,561380,7906.0,537111.0,16363.0,54.0,82647,1164.0,4731376.0,696562.0,6792467
Lesotho,Africa,12908,374.0,6649.0,5885.0,,5974,173.0,131070.0,60666.0,2160532
Liberia,Africa,5396,148.0,2715.0,2533.0,2.0,1041,29.0,128246.0,24733.0,5185207
Libya,Africa,249114,3509.0,190978.0,54627.0,,35732,503.0,1289791.0,185002.0,6971764
Liechtenstein,Europe,3085,59.0,3009.0,17.0,1.0,80662,1543.0,49126.0,1284474.0,38246
Lithuania,Europe,282818,4415.0,269309.0,9094.0,34.0,105480,1647.0,4034707.0,1504786.0,2681250
Luxembourg,Europe,73870,822.0,71867.0,1181.0,5.0,115980,1291.0,3274615.0,5141312.0,636922
Macedonia,Europe,156380,5493.0,150362.0,525.0,,75064,2637.0,976710.0,468832.0,2083282
Madagascar,Africa,42652,943.0,41127.0,582.0,33.0,1499,33.0,226894.0,7974.0,28454297
Malawi,Africa,51809,1614.0,37693.0,12502.0,285.0,2635,82.0,336482.0,17115.0,19659952
Malaysia,Asia,1113272,9024.0,914639.0,189609.0,1062.0,33929,275.0,18160251.0,553464.0,32811983
Maldives,Asia,77432,221.0,74598.0,2613.0,11.0,140588,401.0,1174013.0,2131577.0,550772
Mali,Africa,14584,532.0,13945.0,107.0,,699,25.0,344812.0,16517.0,20875763
Malta,Europe,34295,423.0,31629.0,2243.0,2.0,77449,955.0,1090666.0,2463056.0,442810
Marshall Islands,Australia/Oceania,4,,4.0,0.0,,67,,,,59620
Martinique,North America,19149,111.0,104.0,18934.0,1.0,51071,296.0,224685.0,599238.0,374951
Mauritania,Africa,25691,562.0,22228.0,2901.0,16.0,5374,118.0,369541.0,77299.0,4780681
Mauritius,Africa,3913,19.0,1854.0,2040.0,,3071,15.0,358675.0,281525.0,1274043
Mayotte,Africa,19494,174.0,2964.0,16356.0,,69653,622.0,176919.0,632136.0,279875
Mexico,North America,2829443,240456.0,2204109.0,384878.0,4798.0,21700,1844.0,8421353.0,64586.0,130390343
Micronesia,Australia/Oceania,1,,1.0,0.0,,9,,,,116320
Moldova,Europe,259478,6255.0,252051.0,1172.0,67.0,64485,1554.0,1411818.0,350862.0,4023851
Monaco,Europe,2889,33.0,2707.0,149.0,3.0,73062,835.0,54960.0,1389915.0,39542
Mongolia,Asia,164155,815.0,164829.0,-1489.0,192.0,49222,244.0,3446882.0,1033540.0,3335025
Montenegro,Europe,101927,1630.0,98971.0,1326.0,6.0,162265,2595.0,505853.0,805303.0,628152
Montserrat,North America,21,1.0,19.0,1.0,,4204,200.0,1408.0,281882.0,4995
Morocco,Africa,623528,9785.0,561930.0,51813.0,548.0,16680,262.0,7608707.0,203544.0,37381174
Mozambique,Africa,122028,1434.0,88380.0,32214.0,32.0,3790,45.0,738694.0,22945.0,32193807
Myanmar,Asia,299185,9334.0,209512.0,80339.0,,5459,170.0,3159445.0,57651.0,54802585
Namibia,Africa,118922,3044.0,95250.0,20628.0,85.0,45910,1175.0,613229.0,236738.0,2590333
Nepal,Asia,695389,9857.0,654177.0,31355.0,,23414,332.0,3603465.0,121330.0,29699747
Netherlands,Europe,1865511,17827.0,1668004.0,179680.0,171.0,108613,1038.0,15767121.0,917988.0,17175733
New Caledonia,Australia/Oceania,134,,58.0,76.0,,465,,38831.0,134619.0,288452
New Zealand,Australia/Oceania,2870,26.0,2799.0,45.0,,574,5.0,2473000.0,494392.0,5002100
Nicaragua,North America,9470,195.0,4225.0,5050.0,,1411,29.0,,,6709335
Niger,Africa,5623,195.0,5342.0,86.0,2.0,224,8.0,129856.0,5165.0,25143758
Nigeria,Africa,173411,2149.0,164978.0,6284.0,11.0,819,10.0,2439850.0,11529.0,211618923
Norway,Europe,137627,799.0,88952.0,47876.0,3.0,25175,146.0,6586068.0,1204722.0,5466879
Oman,Asia,295857,3814.0,278195.0,13848.0,260.0,56398,727.0,1550000.0,295470.0,5245888
Pakistan,Asia,1029811,23360.0,940164.0,66287.0,3187.0,4567,104.0,15995153.0,70933.0,225498161
Panama,North America,434460,6808.0,415265.0,12387.0,133.0,99016,1552.0,3357308.0,765152.0,4387767
Papua New Guinea,Australia/Oceania,17717,192.0,17324.0,201.0,7.0,1941,21.0,147179.0,16122.0,9129039
Paraguay,South America,452085,14929.0,419028.0,18128.0,310.0,62557,2066.0,1678142.0,232212.0,7226775
Peru,South America,2109294,196291.0,,,1814.0,63029,5865.0,15476472.0,462458.0,33465698
Philippines,Asia,1588965,27889.0,1500189.0,60887.0,2026.0,14296,251.0,16682875.0,150094.0,111149482
Poland,Europe,2882939,75261.0,2653700.0,153978.0,36.0,76264,1991.0,18556710.0,490893.0,37801912
Portugal,Europe,968631,17361.0,902014.0,49256.0,195.0,95294,1708.0,15214294.0,1496786.0,10164639
Qatar,Asia,226239,601.0,223732.0,1906.0,24.0,80575,214.0,2332220.0,830620.0,2807805
Reunion,Africa,37231,275.0,33894.0,3062.0,40.0,41267,305.0,103924.0,115191.0,902192
Romania,Europe,1083189,34281.0,1047723.0,1185.0,56.0,56714,1795.0,10538056.0,551754.0,19099182
Russia,Europe,6265873,158563.0,5608619.0,498691.0,2300.0,42916,1086.0,165300000.0,1132177.0,146001924
Rwanda,Africa,70698,808.0,44837.0,25053.0,64.0,5317,61.0,2075225.0,156072.0,13296547
Saint Barthelemy,North America,1195,1.0,462.0,732.0,,120597,101.0,38369.0,3872136.0,9909
Saint Helena,Africa,2,,2.0,0.0,,328,,,,6096
Saint Kitts And Nevis,North America,589,3.0,542.0,44.0,1.0,10988,56.0,25930.0,483733.0,53604
Saint Lucia,North America,5581,89.0,5368.0,124.0,,30244,482.0,59805.0,324092.0,184531
Saint Martin,North America,2579,38.0,1399.0,1142.0,7.0,65500,965.0,46787.0,1188271.0,39374
Saint Pierre And Miquelon,North America,28,,26.0,2.0,,4859,,6128.0,1063335.0,5763
Saint Vincent And The Grenadines,North America,2291,12.0,2229.0,50.0,2.0,20580,108.0,60851.0,546631.0,111320
Samoa,Australia/Oceania,3,,3.0,0.0,,15,,,,199834
San Marino,Europe,5130,90.0,5005.0,35.0,,150847,2646.0,70326.0,2067925.0,34008
Sao Tome And Principe,Africa,2446,37.0,2358.0,51.0,,10943,166.0,14270.0,63839.0,223530
Saudi Arabia,Asia,525730,8237.0,506089.0,11404.0,1377.0,14853,233.0,25029275.0,707110.0,35396603
Senegal,Africa,62290,1353.0,47136.0,13801.0,76.0,3618,79.0,647192.0,37590.0,17216952
Serbia,Europe,721918,7114.0,710555.0,4249.0,11.0,82985,818.0,4671408.0,536980.0,8699402
Seychelles,Africa,18189,94.0,17538.0,557.0,,183722,949.0,21504.0,217206.0,99003
Sierra Leone,Africa,6283,120.0,4270.0,1893.0,,771,15.0,160358.0,19673.0,8151140
Singapore,Asia,64981,37.0,62863.0,2081.0,7.0,11014,6.0,15726438.0,2665554.0,5899877
Sint Maarten,North America,2770,34.0,2655.0,81.0,2.0,63825,783.0,35043.0,807442.0,43400
Slovakia,Europe,392647,12540.0,379535.0,572.0,10.0,71881,2296.0,3145755.0,575883.0,5462493
Slovenia,Europe,259215,4429.0,253742.0,1044.0,9.0,124668,2130.0,1392022.0,669484.0,2079246
Solomon Islands,Australia/Oceania,20,,20.0,0.0,,28,,4500.0,6383.0,704950
Somalia,Africa,15358,809.0,7498.0,7051.0,,938,49.0,167465.0,10231.0,16368393
South Africa,Africa,2447454,72013.0,2222338.0,153103.0,546.0,40714,1198.0,14862859.0,247249.0,60112931
South Korea,Asia,198345,2095.0,174177.0,22073.0,317.0,3865,41.0,11728821.0,228557.0,51316749
South Sudan,Africa,11049,119.0,10514.0,416.0,,975,10.0,174045.0,15355.0,11334900
Spain,Europe,4447044,81486.0,3711200.0,654358.0,1698.0,95075,1742.0,55855941.0,1194159.0,46774302
Sri Lanka,Asia,308812,4436.0,277118.0,27258.0,,14357,206.0,4254600.0,197797.0,21509978
State Of Palestine,Asia,316738,3603.0,311832.0,1303.0,9.0,60577,689.0,1992937.0,381158.0,5228642
Sudan,Africa,37138,2776.0,30867.0,3495.0,,826,62.0,234414.0,5215.0,44947622
Suriname,South America,25287,645.0,21610.0,3032.0,29.0,42694,1089.0,91143.0,153882.0,592290
Swaziland,Africa,25979,787.0,20918.0,4274.0,10.0,22146,671.0,254449.0,216905.0,1173090
Sweden,Europe,1100040,14617.0,1076030.0,9393.0,16.0,108196,1438.0,11300881.0,1111516.0,10167084
Switzerland,Europe,717665,10906.0,692101.0,14658.0,37.0,82275,1250.0,9053135.0,1037874.0,8722770
Syria,Asia,25963,1914.0,21987.0,2062.0,,1446,107.0,103566.0,5768.0,17956644
Taiwan,Asia,15674,787.0,14110.0,777.0,,657,33.0,3757334.0,157453.0,23863237
Tajikistan,Asia,15082,121.0,14556.0,405.0,,1544,12.0,,,9767516
Tanzania,Africa,1017,21.0,183.0,813.0,7.0,17,,,,61557275
Thailand,Asia,597287,4857.0,391920.0,200510.0,4691.0,8534,69.0,8129670.0,116157.0,69988732
Timor Leste,Asia,10898,26.0,9889.0,983.0,,8100,19.0,95473.0,70962.0,1345413
Togo,Africa,15798,152.0,14450.0,1196.0,,1861,18.0,405191.0,47743.0,8486878
Trinidad And Tobago,North America,38811,1070.0,31783.0,5958.0,22.0,27636,762.0,269008.0,191551.0,1404371
Tunisia,Africa,589565,19686.0,510696.0,59183.0,630.0,49329,1647.0,2248435.0,188127.0,11951687
Turkey,Asia,5727045,51332.0,5454360.0,221353.0,543.0,67128,602.0,67868851.0,795504.0,85315528
Turks And Caicos Islands,North America,2484,18.0,2431.0,35.0,,63238,458.0,94789.0,2413162.0,39280
Uganda,Africa,93927,2690.0,83115.0,8122.0,626.0,1986,57.0,1469682.0,31080.0,47287644
UK,Europe,5856528,129654.0,4508650.0,1218224.0,869.0,85785,1899.0,244114700.0,3575718.0,68270129
Ukraine,Europe,2252785,52945.0,2186863.0,12977.0,177.0,51848,1219.0,11381585.0,261945.0,43450212
United Arab Emirates,Asia,680858,1949.0,658198.0,20711.0,,67957,195.0,65922553.0,6579794.0,10018939
Uruguay,South America,381364,5959.0,373290.0,2115.0,61.0,109377,1709.0,3056723.0,876680.0,3486702
USA,North America,35733967,629290.0,29666084.0,5438593.0,9375.0,107279,1889.0,529577328.0,1589878.0,333093143
Uzbekistan,Asia,129327,874.0,123164.0,5289.0,23.0,3805,26.0,1377915.0,40538.0,33990675
Vanuatu,Australia/Oceania,4,1.0,3.0,0.0,,13,3.0,23000.0,73052.0,314845
Venezuela,South America,304726,3576.0,288864.0,12286.0,424.0,10749,126.0,3359014.0,118488.0,28349033
Viet Nam,Asia,141122,1161.0,35484.0,104477.0,,1436,12.0,11890084.0,120980.0,98281263
Wallis And Futuna Islands,Australia/Oceania,445,7.0,438.0,0.0,,40359,635.0,20508.0,1859967.0,11026
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,613090
Yemen,Asia,7061,1375.0,4185.0,1501.0,23.0,231,45.0,152937.0,5009.0,30530919
Zambia,Africa,195816,3389.0,187236.0,5191.0,422.0,10341,179.0,2089592.0,110352.0,18935680
Zimbabwe,Africa,107490,3490.0,74562.0,29438.0,33.0,7121,231.0,1088771.0,72125.0,15095525
